# Count_Alpha
# Time (s), Counts, Avg Counts in 1 seconds
      2748,     26, 108.638
      2749,     16, 108.537
      2750,     19, 108.439
      2751,     12, 108.334
      2752,     21, 108.239
      2753,     22, 108.145
      2754,     26, 108.056
      2755,     25, 107.966
      2756,     23, 107.874
      2757,     34, 107.795
      2758,     16, 107.695
      2759,     21, 107.602
      2760,    110, 107.605
      2761,     75, 107.569
      2762,     16, 107.471
      2763,     17, 107.374
      2764,     24, 107.284
      2765,     20, 107.191
      2766,     22, 107.100
      2767,     25, 107.012
      2768,     23, 106.922
      2769,     16, 106.825
      2770,     20, 106.732
      2771,     18, 106.638
      2772,     24, 106.550
      2773,     17, 106.455
      2774,     19, 106.362
      2775,     22, 106.273
      2776,     29, 106.191
      2777,     17, 106.096
      2778,     25, 106.011
      2779,      9, 105.908
      2780,     16, 105.813
      2781,     23, 105.726
      2782,     19, 105.635
      2783,     20, 105.545
      2784,     17, 105.452
      2785,     16, 105.358
      2786,     22, 105.270
      2787,     24, 105.185
      2788,     26, 105.103
      2789,     22, 105.016
      2790,     22, 104.929
      2791,     27, 104.848
      2792,     23, 104.762
      2793,     20, 104.674
      2794,     32, 104.599
      2795,     19, 104.510
      2796,     29, 104.432
      2797,     21, 104.345
      2798,     20, 104.258
      2799,     28, 104.179
      2800,     30, 104.102
      2801,     18, 104.013
      2802,     18, 103.925
      2803,     26, 103.844
      2804,     31, 103.770
      2805,     23, 103.687
      2806,     25, 103.606
      2807,     29, 103.529
      2808,     24, 103.448
      2809,     26, 103.368
      2810,     19, 103.282
      2811,     22, 103.199
      2812,     16, 103.110
      2813,     17, 103.022
      2814,     33, 102.951
      2815,     33, 102.880
      2816,     18, 102.794
      2817,     26, 102.716
      2818,     18, 102.630
      2819,     30, 102.556
      2820,     22, 102.475
      2821,     20, 102.391
      2822,     22, 102.310
      2823,     18, 102.225
      2824,     23, 102.145
      2825,     19, 102.061
      2826,     24, 101.983
      2827,     27, 101.908
      2828,     28, 101.833
      2829,     30, 101.761
      2830,     30, 101.689
      2831,     26, 101.614
# Time (s), Counts, Avg Counts in 1 seconds
      2832,     31, 101.543
      2833,     27, 101.469
      2834,     20, 101.387
      2835,     20, 101.306
      2836,     34, 101.239
      2837,     17, 101.155
      2838,     22, 101.077
      2839,     36, 101.012
      2840,     19, 100.931
      2841,     20, 100.850
      2842,     29, 100.779
      2843,     22, 100.701
      2844,     28, 100.629
      2845,     22, 100.552
      2846,     30, 100.482
      2847,     23, 100.406
      2848,     28, 100.335
      2849,     14, 100.250
      2850,     13, 100.164
      2851,     26, 100.091
      2852,     26, 100.019
      2853,     27, 99.947
      2854,     28, 99.877
      2855,     27, 99.805
      2856,     20, 99.728
      2857,     28, 99.658
      2858,     26, 99.586
      2859,     21, 99.509
      2860,     20, 99.432
      2861,     15, 99.350
      2862,     25, 99.278
      2863,     18, 99.199
      2864,     16, 99.118
      2865,     18, 99.040
      2866,     18, 98.961
      2867,     15, 98.880
      2868,     18, 98.802
      2869,     22, 98.728
      2870,     16, 98.648
      2871,     21, 98.574
      2872,     29, 98.507
      2873,     27, 98.438
      2874,     13, 98.356
      2875,     15, 98.276
      2876,     14, 98.195
      2877,     34, 98.134
      2878,     36, 98.075
      2879,     21, 98.001
      2880,     22, 97.928
      2881,     19, 97.853
      2882,     22, 97.781
      2883,     36, 97.722
      2884,     18, 97.646
      2885,     18, 97.571
      2886,     17, 97.494
      2887,     19, 97.420
      2888,     25, 97.351
      2889,     24, 97.282
      2890,     16, 97.205
      2891,     16, 97.128
      2892,     18, 97.054
      2893,     26, 96.987
      2894,     19, 96.913
      2895,     25, 96.846
      2896,     17, 96.771
      2897,     24, 96.702
      2898,     21, 96.631
      2899,     24, 96.563
      2900,     31, 96.502
      2901,     24, 96.434
      2902,     28, 96.370
      2903,     25, 96.303
      2904,     23, 96.235
      2905,     17, 96.161
      2906,     32, 96.101
      2907,     33, 96.043
      2908,     31, 95.982
      2909,     16, 95.908
      2910,     20, 95.838
      2911,     18, 95.766
      2912,     20, 95.695
      2913,     17, 95.623
      2914,     20, 95.553
      2915,     23, 95.486
      2916,     24, 95.420
      2917,     20, 95.350
      2918,     26, 95.286
      2919,     13, 95.211
      2920,     23, 95.144
      2921,     21, 95.076
      2922,     13, 95.001
      2923,     23, 94.935
      2924,     31, 94.876
      2925,     34, 94.821
      2926,     33, 94.764
      2927,     24, 94.700
      2928,     22, 94.633
      2929,     82, 94.622
      2930,    166, 94.687
      2931,    158, 94.744
# Time (s), Counts, Avg Counts in 1 seconds
      2932,    127, 94.774
      2933,     31, 94.716
      2934,     19, 94.647
      2935,     31, 94.589
      2936,     22, 94.524
      2937,     26, 94.462
      2938,     22, 94.396
      2939,     22, 94.331
      2940,     19, 94.263
      2941,     24, 94.199
      2942,     24, 94.136
      2943,     22, 94.071
      2944,     29, 94.013
      2945,    127, 94.042
      2946,     60, 94.012
      2947,     18, 93.943
      2948,     22, 93.879
      2949,     17, 93.810
