# Count_Alpha
# Time (s), Counts, Avg Counts in 1 seconds
       907,    116, 117.316
       908,    124, 117.324
       909,    106, 117.311
       910,    107, 117.299
       911,    116, 117.297
       912,    104, 117.282
       913,    141, 117.309
       914,    110, 117.301
       915,    117, 117.301
       916,     93, 117.272
       917,    106, 117.259
       918,    135, 117.280
       919,    116, 117.278
       920,    114, 117.275
       921,    126, 117.285
       922,    113, 117.280
       923,    129, 117.293
       924,    140, 117.319
       925,    121, 117.323
       926,    115, 117.321
       927,    113, 117.316
       928,    133, 117.334
       929,    105, 117.320
       930,    108, 117.309
       931,    138, 117.333
       932,    118, 117.333
       933,    140, 117.359
       934,    138, 117.382
       935,    119, 117.384
       936,    102, 117.367
       937,    122, 117.372
       938,    111, 117.365
       939,    116, 117.363
       940,    101, 117.345
       941,    121, 117.349
       942,    116, 117.348
       943,    115, 117.345
       944,    132, 117.361
       945,    113, 117.356
       946,    107, 117.345
       947,    114, 117.341
       948,    101, 117.323
       949,     85, 117.287
# Time (s), Counts, Avg Counts in 1 seconds
       950,    107, 117.276
       951,    127, 117.286
       952,    121, 117.290
       953,    127, 117.301
       954,    147, 117.334
       955,    129, 117.347
       956,    111, 117.340
       957,    110, 117.332
       958,    138, 117.355
       959,    121, 117.359
       960,    124, 117.366
       961,    117, 117.366
       962,     97, 117.343
       963,    122, 117.348
       964,    102, 117.332
       965,    125, 117.340
       966,    145, 117.370
       967,    138, 117.393
       968,    135, 117.412
       969,    118, 117.412
       970,     96, 117.389
       971,    103, 117.374
       972,     97, 117.351
       973,    126, 117.361
       974,    137, 117.382
       975,    104, 117.368
       976,    126, 117.377
       977,    119, 117.379
       978,    133, 117.395
       979,    110, 117.388
       980,    105, 117.374
       981,    124, 117.381
       982,    126, 117.391
       983,    122, 117.395
       984,    113, 117.391
       985,    103, 117.375
       986,    112, 117.370
       987,    121, 117.374
       988,    130, 117.387
       989,    117, 117.387
       990,    132, 117.402
       991,    127, 117.412
       992,     99, 117.393
       993,    114, 117.389
       994,    120, 117.392
       995,     97, 117.370
       996,     96, 117.348
       997,    128, 117.359
       998,    117, 117.359
       999,    128, 117.370
      1000,    123, 117.376
      1001,    111, 117.369
      1002,    107, 117.358
      1003,    124, 117.365
      1004,    134, 117.383
      1005,    124, 117.390
      1006,    133, 117.406
      1007,     95, 117.382
      1008,    126, 117.391
      1009,    142, 117.417
      1010,     89, 117.387
      1011,    109, 117.379
      1012,    107, 117.368
      1013,    135, 117.386
      1014,    100, 117.368
      1015,    116, 117.367
      1016,    126, 117.376
      1017,     96, 117.354
      1018,    114, 117.350
      1019,    115, 117.348
      1020,    151, 117.382
      1021,    123, 117.388
      1022,    112, 117.383
      1023,    105, 117.370
      1024,    124, 117.377
      1025,    118, 117.377
      1026,    102, 117.362
      1027,    124, 117.368
      1028,    124, 117.375
      1029,    125, 117.383
      1030,    126, 117.392
      1031,     99, 117.373
      1032,    109, 117.365
      1033,    114, 117.361
      1034,     83, 117.326
      1035,    132, 117.341
      1036,    109, 117.333
      1037,    132, 117.348
      1038,     99, 117.329
      1039,    124, 117.336
      1040,     86, 117.304
      1041,    102, 117.289
      1042,    120, 117.291
      1043,    131, 117.305
      1044,    125, 117.313
      1045,    130, 117.326
      1046,    119, 117.327
      1047,    125, 117.335
      1048,    125, 117.343
      1049,    120, 117.345
# Time (s), Counts, Avg Counts in 1 seconds
      1050,    119, 117.347
      1051,     97, 117.327
      1052,    113, 117.322
      1053,    108, 117.313
      1054,    119, 117.315
      1055,    110, 117.307
      1056,    119, 117.309
      1057,    111, 117.303
      1058,    103, 117.289
      1059,    127, 117.298
      1060,    113, 117.294
      1061,    108, 117.285
      1062,    112, 117.280
      1063,    119, 117.281
      1064,    120, 117.284
      1065,    101, 117.268
      1066,    110, 117.261
      1067,    113, 117.257
      1068,    109, 117.248
      1069,    108, 117.239
      1070,     86, 117.209
      1071,    129, 117.220
      1072,    115, 117.218
      1073,     99, 117.200
      1074,    120, 117.203
      1075,    125, 117.211
      1076,    120, 117.213
      1077,    120, 117.216
      1078,    113, 117.212
      1079,    116, 117.211
      1080,    113, 117.207
      1081,    112, 117.202
      1082,    125, 117.209
      1083,    103, 117.196
      1084,     88, 117.167
      1085,    105, 117.156
      1086,    116, 117.154
      1087,    132, 117.169
      1088,    127, 117.178
      1089,     86, 117.148
      1090,    120, 117.151
      1091,     90, 117.125
      1092,    134, 117.141
      1093,    113, 117.137
      1094,    123, 117.143
      1095,    124, 117.149
      1096,    106, 117.139
      1097,    104, 117.126
      1098,    120, 117.129
      1099,     97, 117.110
      1100,    123, 117.115
      1101,    104, 117.103
      1102,    111, 117.097
      1103,    111, 117.091
      1104,    136, 117.109
      1105,    133, 117.124
      1106,     90, 117.098
      1107,    118, 117.099
      1108,    110, 117.093
      1109,    109, 117.085
      1110,    127, 117.094
      1111,    111, 117.089
      1112,    107, 117.079
      1113,     87, 117.051
      1114,    110, 117.044
      1115,    130, 117.056
      1116,    140, 117.078
      1117,    133, 117.093
      1118,     94, 117.071
      1119,    112, 117.066
      1120,    126, 117.075
      1121,     98, 117.057
      1122,    128, 117.067
      1123,    126, 117.075
      1124,    130, 117.088
      1125,    101, 117.073
      1126,    108, 117.064
      1127,    113, 117.060
      1128,    104, 117.048
      1129,    106, 117.038
      1130,    112, 117.033
      1131,    130, 117.045
      1132,    105, 117.034
      1133,    104, 117.022
      1134,    115, 117.020
      1135,    128, 117.030
      1136,    108, 117.022
      1137,    100, 117.006
      1138,    119, 117.008
      1139,    126, 117.017
      1140,    123, 117.022
      1141,    120, 117.025
      1142,    111, 117.019
      1143,    150, 117.049
